S/L,Vender Place,KL,Pick_up_by_sol_below_3000_kgs,Dropped_by_vendor_below_3000_kgs,Pick_up_by_sol_between_3000_to_5999_kgs,Dropped_by_vendor_below_5999_kgs,Pick_up_by_sol_above_6000_kgs,Dropped_by_vendor_above_6000_kgs,Toll charges
1,Abhay packaging ,79,3850,1925,4760,2380,5060,2530,
2,Abhinandan Petro Pack PVT LTD,108,6200,3100,7392,3696,7692,3846,400
3,Ambica pattern,71,3900,1950,4980,2490,5280,2640,
4,BB Industeris,85,4400,2200,7200,3600,7500,3750,
5,Bhagyashree,65,3850,1925,4760,2380,5060,2530,
6,Bright globle,251,,,,,16000,8000,
7,Buildmet Fibres Pvt ltd (Dabaspet),25,3070,1535,3270,1635,3570,1785,
8,Bulk Liquid Solution ,70,3850,1925,4760,2380,5060,2530,
9,Bangalore airport,,6000,3000,6910,3455,7210,3605,
10,Calibrics,30,3070,1535,3270,1635,3570,1785,
11,Chakrapani vyapar Private Limited ,69,3850,1925,4980,2490,5280,2640,
12,Chavao Overs,116,4400,2200,7200,3600,7500,3750,
13,Cheenai plastic,379,,,,,20000,16000,
14,Flexible Industries,375,,,,,20000,16000,
15,Gotawat Industries ,30,3070,1535,3270,1635,3570,1785,
16,Hooks & Buckles,70,3850,1925,4760,2380,5060,2530,
17,Innova Polypack,123,6200,3100,7392,3696,7692,3846,400
18,ITC  Limited,350,22000,,,,33000,,
19,JJ Traders,79,3850,1925,4760,2380,5060,2530,
20,Kamal Tapes,71,3850,1925,4760,2380,5060,2530,
21,Mahalakshmi ,25,3070,1535,3270,1635,3570,1785,
22, Mega international ,115,6200,3100,7392,3696,7692,3846,
23,Newteck ,86,4500,2250,7280,3640,7580,3790,
24,Paragon Plastics ,68,3950,1975,5100,2550,5400,2700,
25,Plasmix ,64,3850,1925,4760,2380,5060,2530,
26,Polylam Industries ,66,3850,1925,4760,2380,5060,2530,
27,Pradeep trader,66,4200,2100,6200,3100,6500,3250,
28,Presting Venus,67,3950,1975,5100,2550,5400,2700,
29,Priyadarshini,79,3950,1975,4980,2490,5280,2640,
30,Reliance Industries limited(dodhabalapura road),52,3650,1825,4500,2250,4800,2400,
31,Reliance Industries limited(Nelamangala),40,3500,1750,4000,2000,4300,2150,
32,Rotech enginering,68,3950,1975,4760,2380,5060,2530,
33,Rukuma plastic,66,3850,1925,4760,2380,5060,2530,
34,Seenu transporter/Roto colour,71,3850,1925,4760,2380,5060,2530,
35,Shree tech rubber,69,3950,1975,4760,2380,5060,2530,
36,Sri sai Packaging,88,4800,2400,7392,3696,7692,3846,
37,Sri Vishnu rubber product,71,3850,1925,4760,2380,5060,2530,
38,SRM Products Private Limited ,67,3950,1975,5100,2550,5400,2700,
39,Sunshine Industries ,106,6200,3100,7392,3696,7692,3846,400
40,Synpack/Synthetic,71,3850,1925,4760,2380,5060,2530,
41,VB Polypack,68,3850,1925,4760,2380,5060,2530,
42,ved industries,465,,,,,21000,18000,
43, Venkatadri polymers ,69,3850,1925,4760,2380,5060,2530,
44,VRL  (Tumkur),25,1000,500,1800,900,2100,1050,
45,Vertex Phenumatics,,4650,2325,,,,,
46,IAF unit-1,,,,,,,,
47,IAF unit-2,,,,,,,,
48,IAF unit-3,,,,,,,,
49,IAF unit-4,,,,,,,,
50,Soliflex unit-1,,,,,,,,
51,Soliflex unit-2,,,,,,,,
52,Soliflex unit-3,,,,,,,,
53,Soliflex unit-4,,,,,,,,
